"wknr_2021","wkname_2021","land","landid","wbmighintergrund_anteil","wbmighintergrund_absolut","mighintergrund_anteil","mighintergrund_absolut","wahlberechtigte","waehler","gueltige_1","gueltige_2","cdu_1","spd_1","linke_1","gruene_1","csu_1","fdp_1","afd_1","bevdichte","absolventen_hochschulreife","max1","max2","difference","vp","z","wk_gewinner_party","wk_gewinner_share","wk_gewinner_mh","wk_zweiter","wk_zweiter_party","wk_zweiter_share","wk_zweiter_mh","Quelle","Abgerufen.am","indicator_vp","mh_total"
51,"Helmstedt – Wolfsburg","Niedersachsen",4,0.17889566719532,32415.7249755859,0.26685294508934,60803.562171936,183961,137303,135832,136012,47416,51646,8128,6096,0,7791,13857,207.8,40.8,51646,47416,4230,28185.7249755859,"Mohrs Falko","SPD","42,10",0,"Weber Andreas","CDU","26,60",0,"https://www1.wdr.de/kandidatencheck/2021/ndr-bundestagswahl/video/video-andreas-weber-cdu-helmstedt--wolfsburg-bundestagswahl-100.html","1.2.2023 11:05:00",1,0
52,"Goslar – Northeim – Osterode","Niedersachsen",4,0.0977318063378334,18903.8594245911,0.18108657002449,43049.519115448,202963,150977,149372,149790,59391,51953,8525,8128,0,7438,13937,117.8,34.5,59391,51953,7438,11465.8594245911,"Heiligenstadt Frauke","SPD","36,70",0,"Dr Kühne Roy","CDU","33,20",0,"","",1,0
53,"Göttingen","Niedersachsen",4,0.103231988847256,12131.1330032349,0.179288551211357,25355.8273963928,220420,170547,169108,169324,56250,59032,9905,19131,0,7734,11870,225.1,40.5,59032,56250,2782,9349.13300323486,"Dr Philippi Andreas","SPD","32,20",0,"Güntzler Fritz","CDU","26,90",0,"","",1,0
54,"Bremen I","Bremen",5,0.140261533412318,30165.3900625218,0.3029042554061,89671.9807362902,252496,188064,185437,186376,44912,55656,22666,22117,0,20702,14290,2312,36.1,55656,44912,10744,19421.3900625218,"Ryglewski Sarah Jani","SPD","30,20",0,"Dr Kappert-Gonther Kirsten","Grüne","21,50",0,"","",1,0
55,"Bremen II – Bremerhaven","Bremen",5,0.0988639763731717,48608.5291097652,0.203984070342975,138333.038091148,221655,147855,145606,145947,36363,49463,16739,11269,0,9755,16645,1223.8,36,49463,36363,13100,35508.5291097652,"Schmidt Uwe ","SPD","36,90",0,"Winter Wiebke","CDU","20,10",0,"https://www.wiebke-winter.de/ueber-mich/","1.2.2023 11:06:00",1,0
56,"Prignitz – Ostprignitz-Ruppin – Havelland I","Brandenburg",6,0.0152709251269698,2726.18433761597,0.0531397648155689,10972.153175354,176002,120228,118415,118408,36481,28061,20849,3547,0,4226,21296,36.8,35.7,36481,28061,8420,-5693.81566238403,"Papenbrock Wiebke","SPD","33,00",0,"Dr Kaufner Dominik","AfD","19,70",0,"https://dominikkaufner.de/zur-person","1.2.2023 11:08:00",0,0
57,"Uckermark – Barnim I","Brandenburg",6,0.0235788747668266,4406.68285751343,0.0693786069750786,15257.457660675,184716,129870,127876,128013,39102,24843,23589,4714,0,4859,25804,51.9,33.4,39102,25804,13298,-8891.31714248657,"Zierke Stefan","SPD","26,90",0,"Guck Hannes","AfD","20,30",0,"","",0,0
58,"Oberhavel – Havelland II","Brandenburg",6,0.038853295147419,9969.58396530151,0.0799237936735153,24413.7227668762,243108,185012,182290,182610,54455,41423,26839,9685,0,9514,32762,138.3,43.2,54455,41423,13032,-3062.41603469849,"Fäscher Ariane","SPD","26,30",0,"Feiler Uwe","CDU","20,80",0,"","",0,0
59,"Märkisch-Oderland – Barnim II","Brandenburg",6,0.0313779935240746,7084.64945602417,0.0643559992313385,17154.7945022583,226424,170039,167605,167696,47594,26526,37721,8972,0,7111,33915,113.4,33.3,47594,37721,9873,-2788.35054397583,"Koß Simo","SPD","24,80",0,"Dr Buder Sabine","CDU","23,40",0,"Annahme durch Namen","",0,0
60,"Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I","Brandenburg",6,0.019603606313467,4043.89395141602,0.0638530850410461,15447.4750480652,203983,143883,141429,141792,45181,35202,21110,5184,0,6776,23504,76.1,45.1,45181,35202,9979,-5935.10604858398,"Eichwede Sonja Kathari","SPD","32,10",0,"Dr Tiemann Dietlind","CDU","20,10",0,"","",0,0
